Number,Model,Company,Price,Rating,No_of_ratings,TotalReviews,RamSize,RomSize,,15228.30579
0,"Infinix HOT 20 Play (Luna Blue, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
1,"MOTOROLA e40 (Carbon Gray, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
2,"MOTOROLA e40 (Pink Clay, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
3,"POCO C31 (Shadow Gray, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
4,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
5,"REDMI 9i Sport (Carbon Black, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
6,"REDMI 9i Sport (Coral Green, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
7,"POCO M4 Pro 5G (Cool Blue, 64 GB)",POCO,11999,4.3,"33,258","2,972",4 GB,64 GB,,
8,"realme 9 5G (Stargaze White, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
9,"realme 9 5G (Supersonic Blue, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
10,"realme 9 5G (Meteor Black, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
11,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
12,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"41,124","3,691",6 GB,128 GB,,
13,"MOTOROLA g52 (Metallic White, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
14,"realme 9 5G (Meteor Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
15,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
16,"realme 9 5G (Supersonic Blue, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
17,"realme 9 5G (Stargaze White, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
18,"MOTOROLA g52 (Charcoal Grey, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
19,"APPLE iPhone 14 (Starlight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
20,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,14999,4.3,"1,37,778","11,213",6 GB,128 GB,,
21,"APPLE iPhone 14 (Midnight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
22,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
23,"MOTOROLA G32 (Satin Silver, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
24,"Infinix HOT 20 Play (Luna Blue, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
25,"MOTOROLA e40 (Carbon Gray, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
26,"MOTOROLA e40 (Pink Clay, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
27,"POCO C31 (Shadow Gray, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
28,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
29,"REDMI 9i Sport (Carbon Black, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
30,"REDMI 9i Sport (Coral Green, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
31,"POCO M4 Pro 5G (Cool Blue, 64 GB)",POCO,11999,4.3,"33,258","2,972",4 GB,64 GB,,
32,"realme 9 5G (Stargaze White, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
33,"realme 9 5G (Supersonic Blue, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
34,"realme 9 5G (Meteor Black, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
35,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
36,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"41,124","3,691",6 GB,128 GB,,
37,"MOTOROLA g52 (Metallic White, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
38,"realme 9 5G (Meteor Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
39,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
40,"realme 9 5G (Supersonic Blue, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
41,"realme 9 5G (Stargaze White, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
42,"MOTOROLA g52 (Charcoal Grey, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
43,"APPLE iPhone 14 (Starlight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
44,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,14999,4.3,"1,37,778","11,213",6 GB,128 GB,,
45,"APPLE iPhone 14 (Midnight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
46,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
47,"MOTOROLA G32 (Satin Silver, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
48,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
49,"MOTOROLA g42 (Atlantic Green, 64 GB)",MOTOROLA,10999,4.1,"3,075",385,4 GB,64 GB,,
50,"APPLE iPhone 14 (Blue, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
51,"realme 9 5G (Supersonic Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
52,"APPLE iPhone 14 (Purple, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
53,"Infinix HOT 20 Play (Racing Black, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
54,"Infinix HOT 20 Play (Aurora Green, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
55,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
56,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
57,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
58,"REDMI Note 11 SE (Cosmic White, 64 GB)",REDMI,16998,4.3,"30,409","1,886",6 GB,64 GB,,
59,"REDMI 10 (Midnight Black, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
60,"REDMI 10 (Pacific Blue, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
61,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
62,"POCO C31 (Royal Blue, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
63,"POCO M4 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
64,"vivo T1X (Gravity Black, 64 GB)",vivo,11999,4.5,"68,117","3,863",4 GB,64 GB,,
65,"vivo T1X (Space Blue, 64 GB)",vivo,11999,4.5,"68,117","3,863",4 GB,64 GB,,
66,"POCO M4 5G (Cool Blue, 64 GB)",POCO,11999,4.2,"45,400","3,749",4 GB,64 GB,,
67,"POCO M4 5G (Power Black, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
68,"MOTOROLA g82 5G(White Lily, 128 GB)",MOTOROLA,18999,4.2,"5,211",703,6 GB,128 GB,,
69,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
70,"vivo T1 5G (Starlight Black, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
71,"Infinix Smart 6 HD (Origin Blue, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
72,"Infinix HOT 20 Play (Luna Blue, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
73,"MOTOROLA e40 (Carbon Gray, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
74,"MOTOROLA e40 (Pink Clay, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
75,"POCO C31 (Shadow Gray, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
76,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
77,"REDMI 9i Sport (Carbon Black, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
78,"REDMI 9i Sport (Coral Green, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
79,"POCO M4 Pro 5G (Cool Blue, 64 GB)",POCO,11999,4.3,"33,258","2,972",4 GB,64 GB,,
80,"realme 9 5G (Stargaze White, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
81,"realme 9 5G (Supersonic Blue, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
82,"realme 9 5G (Meteor Black, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
83,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
84,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"41,124","3,691",6 GB,128 GB,,
85,"MOTOROLA g52 (Metallic White, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
86,"realme 9 5G (Meteor Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
87,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
88,"realme 9 5G (Supersonic Blue, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
89,"realme 9 5G (Stargaze White, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
90,"MOTOROLA g52 (Charcoal Grey, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
91,"APPLE iPhone 14 (Starlight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
92,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,14999,4.3,"1,37,778","11,213",6 GB,128 GB,,
93,"APPLE iPhone 14 (Midnight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
94,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
95,"MOTOROLA G32 (Satin Silver, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
96,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
97,"MOTOROLA g42 (Atlantic Green, 64 GB)",MOTOROLA,10999,4.1,"3,075",385,4 GB,64 GB,,
98,"APPLE iPhone 14 (Blue, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
99,"realme 9 5G (Supersonic Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
100,"APPLE iPhone 14 (Purple, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
101,"Infinix HOT 20 Play (Racing Black, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
102,"Infinix HOT 20 Play (Aurora Green, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
103,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
104,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
105,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
106,"REDMI Note 11 SE (Cosmic White, 64 GB)",REDMI,16998,4.3,"30,409","1,886",6 GB,64 GB,,
107,"REDMI 10 (Midnight Black, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
108,"REDMI 10 (Pacific Blue, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
109,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
110,"POCO C31 (Royal Blue, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
111,"POCO M4 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
112,"vivo T1X (Gravity Black, 64 GB)",vivo,11999,4.5,"68,117","3,863",4 GB,64 GB,,
113,"vivo T1X (Space Blue, 64 GB)",vivo,11999,4.5,"68,117","3,863",4 GB,64 GB,,
114,"POCO M4 5G (Cool Blue, 64 GB)",POCO,11999,4.2,"45,400","3,749",4 GB,64 GB,,
115,"POCO M4 5G (Power Black, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
116,"MOTOROLA g82 5G(White Lily, 128 GB)",MOTOROLA,18999,4.2,"5,211",703,6 GB,128 GB,,
117,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
118,"vivo T1 5G (Starlight Black, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
119,"Infinix Smart 6 HD (Origin Blue, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
120,"vivo T1 5G (Starlight Black, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
121,"MOTOROLA g22 (Iceberg Blue, 64 GB)",MOTOROLA,9499,3.7,"26,741","3,220",4 GB,64 GB,,
122,"Infinix Smart 6 HD (Origin Blue, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
123,"Infinix Smart 6 HD (Aqua Sky, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
124,"realme 9i (Prism Blue, 128 GB)",realme,12599,4.5,"1,16,293","6,868",4 GB,128 GB,,
125,"vivo T1X (Gravity Black, 128 GB)",vivo,12999,4.5,"68,117","3,863",4 GB,128 GB,,
126,"vivo T1X (Space Blue, 128 GB)",vivo,12999,4.5,"68,117","3,863",4 GB,128 GB,,
127,"Infinix Hot 12 (Exploratory Blue, 64 GB)",Infinix,8899,4.2,"14,750","1,095",4 GB,64 GB,,
128,"Infinix Hot 12 (7° Purple, 64 GB)",Infinix,8899,4.2,"14,750","1,095",4 GB,64 GB,,
129,"Infinix Smart 6 HD (Force Black, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
130,"REDMI 10 (Caribbean Green, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
131,"realme 9i (Prism Blue, 128 GB)",realme,13599,4.5,"25,752","1,531",6 GB,128 GB,,
132,"realme 9i (Prism Black, 128 GB)",realme,12599,4.5,"1,16,293","6,868",4 GB,128 GB,,
133,"vivo T1 44W (Starry Sky, 128 GB)",vivo,14499,4.5,"74,897","5,493",4 GB,128 GB,,
134,"vivo T1 44W (Midnight Galaxy, 128 GB)",vivo,14499,4.5,"74,897","5,493",4 GB,128 GB,,
135,Nokia 105 SS,Nokia,1299,4.2,"24,816","1,801",32 MB,32 MB,,
136,Nokia 105 SS,Nokia,1299,4.2,"24,816","1,801",32 MB,32 MB,,
137,"MOTOROLA g42 (Metallic Rose, 64 GB)",MOTOROLA,10999,4.1,"3,075",385,4 GB,64 GB,,
138,"APPLE iPhone 13 (Pink, 128 GB)",APPLE,60999,4.7,"1,77,611","9,781",128 GB,Not Known,,
139,"MOTOROLA g72 (Polar Blue, 128 GB)",MOTOROLA,14999,4.1,"4,878",776,6 GB,128 GB,,
140,"POCO M4 Pro 5G (Yellow, 64 GB)",POCO,11999,4.3,"33,258","2,972",4 GB,64 GB,,
141,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",MOTOROLA,20499,4.1,"3,123",411,8 GB,128 GB,,
142,"vivo T1X (Space Blue, 128 GB)",vivo,14999,4.4,"3,415",211,6 GB,128 GB,,
143,"POCO M4 Pro (Power Black, 128 GB)",POCO,16499,4.3,"1,30,276","11,960",6 GB,128 GB,,
144,"Infinix HOT 20 Play (Luna Blue, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
145,"MOTOROLA e40 (Carbon Gray, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
146,"MOTOROLA e40 (Pink Clay, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
147,"POCO C31 (Shadow Gray, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
148,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
149,"REDMI 9i Sport (Carbon Black, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
150,"REDMI 9i Sport (Coral Green, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
151,"POCO M4 Pro 5G (Cool Blue, 64 GB)",POCO,11999,4.3,"33,258","2,972",4 GB,64 GB,,
152,"realme 9 5G (Stargaze White, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
153,"realme 9 5G (Supersonic Blue, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
154,"realme 9 5G (Meteor Black, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
155,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
156,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"41,124","3,691",6 GB,128 GB,,
157,"MOTOROLA g52 (Metallic White, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
158,"realme 9 5G (Meteor Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
159,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
160,"realme 9 5G (Supersonic Blue, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
161,"realme 9 5G (Stargaze White, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
162,"MOTOROLA g52 (Charcoal Grey, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
163,"APPLE iPhone 14 (Starlight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
164,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,14999,4.3,"1,37,778","11,213",6 GB,128 GB,,
165,"APPLE iPhone 14 (Midnight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
166,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
167,"MOTOROLA G32 (Satin Silver, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
168,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
169,"MOTOROLA g42 (Atlantic Green, 64 GB)",MOTOROLA,10999,4.1,"3,075",385,4 GB,64 GB,,
170,"APPLE iPhone 14 (Blue, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
171,"realme 9 5G (Supersonic Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
172,"APPLE iPhone 14 (Purple, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
173,"Infinix HOT 20 Play (Racing Black, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
174,"Infinix HOT 20 Play (Aurora Green, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
175,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
176,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
177,"vivo T1 5G (Rainbow Fantasy, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
178,"REDMI Note 11 SE (Cosmic White, 64 GB)",REDMI,16998,4.3,"30,409","1,886",6 GB,64 GB,,
179,"REDMI 10 (Midnight Black, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
180,"REDMI 10 (Pacific Blue, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
181,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
182,"POCO C31 (Royal Blue, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
183,"POCO M4 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
184,"vivo T1X (Gravity Black, 64 GB)",vivo,11999,4.5,"68,117","3,863",4 GB,64 GB,,
185,"vivo T1X (Space Blue, 64 GB)",vivo,11999,4.5,"68,117","3,863",4 GB,64 GB,,
186,"POCO M4 5G (Cool Blue, 64 GB)",POCO,11999,4.2,"45,400","3,749",4 GB,64 GB,,
187,"POCO M4 5G (Power Black, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
188,"MOTOROLA g82 5G(White Lily, 128 GB)",MOTOROLA,18999,4.2,"5,211",703,6 GB,128 GB,,
189,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
