Number,Model,Company,Price,Rating,No_of_ratings,TotalReviews,RamSize,RomSize,,15228.30579
276,"REDMI 10 (Pacific Blue, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
277,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
278,"POCO C31 (Royal Blue, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
279,"POCO M4 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
280,"vivo T1X (Gravity Black, 64 GB)",vivo,11999,4.5,"68,117","3,863",4 GB,64 GB,,
281,"vivo T1X (Space Blue, 64 GB)",vivo,11999,4.5,"68,117","3,863",4 GB,64 GB,,
282,"POCO M4 5G (Cool Blue, 64 GB)",POCO,11999,4.2,"45,400","3,749",4 GB,64 GB,,
283,"POCO M4 5G (Power Black, 128 GB)",POCO,13999,4.2,"22,699","1,884",6 GB,128 GB,,
284,"MOTOROLA g82 5G(White Lily, 128 GB)",MOTOROLA,18999,4.2,"5,211",703,6 GB,128 GB,,
285,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
286,"vivo T1 5G (Starlight Black, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
287,"Infinix Smart 6 HD (Origin Blue, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
288,"vivo T1 5G (Starlight Black, 128 GB)",vivo,15990,4.3,"59,607","4,787",4 GB,128 GB,,
289,"MOTOROLA g22 (Iceberg Blue, 64 GB)",MOTOROLA,9499,3.7,"26,741","3,220",4 GB,64 GB,,
290,"Infinix Smart 6 HD (Origin Blue, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
291,"Infinix Smart 6 HD (Aqua Sky, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
292,"realme 9i (Prism Blue, 128 GB)",realme,12599,4.5,"1,16,293","6,868",4 GB,128 GB,,
293,"vivo T1X (Gravity Black, 128 GB)",vivo,12999,4.5,"68,117","3,863",4 GB,128 GB,,
294,"vivo T1X (Space Blue, 128 GB)",vivo,12999,4.5,"68,117","3,863",4 GB,128 GB,,
295,"Infinix Hot 12 (Exploratory Blue, 64 GB)",Infinix,8899,4.2,"14,750","1,095",4 GB,64 GB,,
296,"Infinix Hot 12 (7° Purple, 64 GB)",Infinix,8899,4.2,"14,750","1,095",4 GB,64 GB,,
297,"Infinix Smart 6 HD (Force Black, 32 GB)",Infinix,5799,4.4,"15,648",823,2 GB,32 GB,,
298,"REDMI 10 (Caribbean Green, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
299,"realme 9i (Prism Blue, 128 GB)",realme,13599,4.5,"25,752","1,531",6 GB,128 GB,,
300,"realme 9i (Prism Black, 128 GB)",realme,12599,4.5,"1,16,293","6,868",4 GB,128 GB,,
301,"vivo T1 44W (Starry Sky, 128 GB)",vivo,14499,4.5,"74,897","5,493",4 GB,128 GB,,
302,"vivo T1 44W (Midnight Galaxy, 128 GB)",vivo,14499,4.5,"74,897","5,493",4 GB,128 GB,,
303,Nokia 105 SS,Nokia,1299,4.2,"24,816","1,801",32 MB,32 MB,,
304,Nokia 105 SS,Nokia,1299,4.2,"24,816","1,801",32 MB,32 MB,,
305,"MOTOROLA g42 (Metallic Rose, 64 GB)",MOTOROLA,10999,4.1,"3,075",385,4 GB,64 GB,,
306,"APPLE iPhone 13 (Pink, 128 GB)",APPLE,60999,4.7,"1,77,611","9,781",128 GB,Not Known,,
307,"MOTOROLA g72 (Polar Blue, 128 GB)",MOTOROLA,14999,4.1,"4,878",776,6 GB,128 GB,,
